"price_name","price_area","price_status","price_age","price_condition","price_bhk","price_bhk_url","price_location","price_location_url","price_builder","price_builder_url"
"48.5 L","1100","Ready to move","2 Bathrooms","Resale","2","https://www.makaan.com/chennai/builder-project-in-guduvancheri-16005981/2bhk-2t-1100-sqft-independenthouse","Guduvancheri","https://www.makaan.com/chennai-property/guduvancheri-flats-for-sale-51380","seller","https://www.makaan.com/seller-profile-100269544"
"90 L","3408","Ready to move","5 Bathrooms","Resale","5","https://www.makaan.com/chennai/builder-project-in-puzhal-15993145/5bhk-5t-3408-sqft-independenthouse","Puzhal","https://www.makaan.com/chennai-property/puzhal-flats-for-sale-51848","seller","https://www.makaan.com/seller-profile-100339207"
"1 Cr","1400","Ready to move","2 - 3 years old","3 Bathrooms","3","https://www.makaan.com/chennai/builder-project-in-washermanpet-16000621/3bhk-3t-1400-sqft-apartment","Washermanpet","https://www.makaan.com/chennai-property/washermanpet-flats-for-sale-104128-lcudn","seller","https://www.makaan.com/seller-profile-100340382"
"90 L","3408","Ready to move","5 Bathrooms","Resale","5","https://www.makaan.com/chennai/builder-project-in-puzhal-15993145/5bhk-5t-3408-sqft-independenthouse","Puzhal","https://www.makaan.com/chennai-property/puzhal-flats-for-sale-51848","seller","https://www.makaan.com/seller-profile-100339207"
"65 L","1273","Under Construction","3 Bathrooms","Resale","3","https://www.makaan.com/chennai/builder-project-in-thiruverkadu-15993142/3bhk-3t-1273-sqft-apartment","Thiruverkadu","https://www.makaan.com/chennai-property/thiruverkadu-flats-for-sale-51349","seller","https://www.makaan.com/seller-profile-100339201"
"29 L","506","Ready to move","1 Bathrooms","Resale","2","https://www.makaan.com/chennai/builder-project-in-mogappair-15993108/2bhk-1t-506-sqft-apartment","Mogappair","https://www.makaan.com/chennai-property/mogappair-flats-for-sale-50314","seller","https://www.makaan.com/seller-profile-100339158"
"28.5 L","736","Ready to move","3 - 4 years old","2 Bathrooms","2","https://www.makaan.com/chennai/builder-project-in-pozhichalur-15993097/2bhk-2t-736-sqft-apartment","Pozhichalur","https://www.makaan.com/chennai-property/pozhichalur-flats-for-sale-62042","seller","https://www.makaan.com/seller-profile-100339113"
"26 L","850","Ready to move","2 - 3 years old","2 Bathrooms","2","https://www.makaan.com/chennai/builder-project-in-veppampattu-15981639/2bhk-2t-850-sqft-independenthouse","Veppampattu","https://www.makaan.com/chennai-property/veppampattu-flats-for-sale-54853","seller","https://www.makaan.com/seller-profile-100337962"
"45 L","950","Under Construction","2 Bathrooms","Resale","2","https://www.makaan.com/chennai/builder-project-in-gerugambakkam-15973333/2bhk-2t-950-sqft-apartment","Gerugambakkam","https://www.makaan.com/chennai-property/gerugambakkam-flats-for-sale-55747","seller","https://www.makaan.com/seller-profile-100336740"
"15 L","450","Ready to move","5 years old","1 Bathrooms","1","https://www.makaan.com/chennai/builder-project-in-mannur-15973171/1bhk-1t-450-sqft-independenthouse","Mannur","https://www.makaan.com/chennai-property/mannur-flats-for-sale-55837","seller","https://www.makaan.com/seller-profile-100336757"
"46 L","820","Under Construction","2 Bathrooms","Resale","2","https://www.makaan.com/chennai/builder-project-in-guduvancheri-15977592/2bhk-2t-820-sqft-independenthouse","Guduvancheri","https://www.makaan.com/chennai-property/guduvancheri-flats-for-sale-51380","seller","https://www.makaan.com/seller-profile-100336757"
"30 L","960","Ready to move","2 - 3 years old","2 Bathrooms","2","https://www.makaan.com/chennai/builder-project-in-veppampattu-15962438/2bhk-2t-960-sqft-independenthouse","Veppampattu","https://www.makaan.com/chennai-property/veppampattu-flats-for-sale-54853","seller","https://www.makaan.com/seller-profile-100084956"
"98 L","1253","Ready to move","2 Bathrooms","Resale","3","https://www.makaan.com/chennai/gp-constructions-kalyan-in-virugambakkam-15972829/3bhk-2t-1253-sqft-apartment","Virugambakkam","https://www.makaan.com/chennai-property/virugambakkam-flats-for-sale-51300","seller","https://www.makaan.com/seller-profile-100336802"
"83 L","997","Ready to move","Resale","","2","https://www.makaan.com/chennai/gp-constructions-kalyan-in-virugambakkam-15972828/2bhk-997-sqft-apartment","Virugambakkam","https://www.makaan.com/chennai-property/virugambakkam-flats-for-sale-51300","seller","https://www.makaan.com/seller-profile-100336802"
"38 L","510","Ready to move","1 Bathrooms","Resale","1","https://www.makaan.com/chennai/builder-project-in-west-mambalam-15952325/1bhk-1t-510-sqft-apartment","West Mambalam","https://www.makaan.com/chennai-property/west-mambalam-flats-for-sale-52002","seller","https://www.makaan.com/seller-profile-100334200"
"1.35 Cr","1950","Ready to move","3 Bathrooms","Resale","3","https://www.makaan.com/chennai/builder-project-in-kattupakkam-15952270/3bhk-3t-1950-sqft-independenthouse","Kattupakkam","https://www.makaan.com/chennai-property/kattupakkam-flats-for-sale-51491","seller","https://www.makaan.com/seller-profile-100334121"
"72 L","1957","Ready to move","5 - 6 years old","3 Bathrooms","3","https://www.makaan.com/chennai/akshaya-homes-metropolis-in-maraimalai-nagar-15936964/3bhk-3t-1957-sqft-apartment","Maraimalai Nagar","https://www.makaan.com/chennai-property/maraimalai-nagar-flats-for-sale-51189","seller","https://www.makaan.com/seller-profile-100332042"
"40 L","1000","Under Construction","2 Bathrooms","Resale","2","https://www.makaan.com/chennai/builder-project-in-kolathur-15936721/2bhk-2t-1000-sqft-villa","Kolathur","https://www.makaan.com/chennai-property/kolathur-flats-for-sale-50315","seller","https://www.makaan.com/seller-profile-100332039"
"1.6 Cr","2300","Ready to move","4 Bathrooms","Resale","4","https://www.makaan.com/chennai/builder-project-in-chetpet-15942297/4bhk-4t-2300-sqft-independenthouse","Chetpet","https://www.makaan.com/chennai-property/chetpet-flats-for-sale-57798","seller","https://www.makaan.com/seller-profile-100271920"
"1.37 Cr","1485","Ready to move","3 Bathrooms","Resale","3","https://www.makaan.com/chennai/builder-project-in-perungudi-15936072/3bhk-3t-1485-sqft-apartment","Perungudi","https://www.makaan.com/chennai-property/perungudi-flats-for-sale-51627","seller","https://www.makaan.com/seller-profile-100332049"
"59 L","1430","Ready to move","2 Bathrooms","Resale","3","https://www.makaan.com/chennai/builder-project-in-sithalapakkam-15925883/3bhk-2t-1430-sqft-apartment","Sithalapakkam","https://www.makaan.com/chennai-property/sithalapakkam-flats-for-sale-51788","seller","https://www.makaan.com/seller-profile-100295694"
"65 L","900","Ready to move","2 Bathrooms","Resale","2","https://www.makaan.com/chennai/builder-project-in-ramapuram-15902620/2bhk-2t-900-sqft-independenthouse","Ramapuram","https://www.makaan.com/chennai-property/ramapuram-flats-for-sale-51669","seller","https://www.makaan.com/seller-profile-100328568"
"65 L","900","Ready to move","2 Bathrooms","Resale","2","https://www.makaan.com/chennai/builder-project-in-ramapuram-15902620/2bhk-2t-900-sqft-independenthouse","Ramapuram","https://www.makaan.com/chennai-property/ramapuram-flats-for-sale-51669","seller","https://www.makaan.com/seller-profile-100328568"
"1.2 Cr","2400","Ready to move","4 Bathrooms","Resale","5","https://www.makaan.com/chennai/builder-project-in-virugambakkam-15890038/5bhk-4t-2400-sqft-independenthouse","Virugambakkam","https://www.makaan.com/chennai-property/virugambakkam-flats-for-sale-51300","seller","https://www.makaan.com/seller-profile-100327470"
"45 L","917","Ready to move","2 Bathrooms","Resale","2","https://www.makaan.com/chennai/builder-project-in-thiruverkadu-15890030/2bhk-2t-917-sqft-apartment","Thiruverkadu","https://www.makaan.com/chennai-property/thiruverkadu-flats-for-sale-51349","seller","https://www.makaan.com/seller-profile-100327432"
"40 L","680","Ready to move","11 - 12 years old","1 Bathrooms","2","https://www.makaan.com/chennai/doshi-housing-sri-mahalakshmi-apartments-in-alandur-15877848/2bhk-1t-680-sqft-apartment","Alandur","https://www.makaan.com/chennai-property/alandur-flats-for-sale-51828","seller","https://www.makaan.com/seller-profile-100326073"
"30 L","950","Under Construction","2 Bathrooms","Resale","2","https://www.makaan.com/chennai/builder-project-in-veppampattu-15882024/2bhk-2t-950-sqft-independenthouse","Veppampattu","https://www.makaan.com/chennai-property/veppampattu-flats-for-sale-54853","seller","https://www.makaan.com/seller-profile-100084956"
"19.5 L","600","Under Construction","1 Bathrooms","Resale","1","https://www.makaan.com/chennai/builder-project-in-red-hills-12593212/1bhk-1t-600-sqft-independenthouse","Red Hills","https://www.makaan.com/chennai-property/red-hills-flats-for-sale-79864","seller","https://www.makaan.com/seller-profile-100060779"
"45 L","580","Ready to move","3 - 4 years old","1 Bathrooms","1","https://www.makaan.com/chennai/pragnya-lt-eden-park---peach-in-siruseri-15864684/1bhk-1t-580-sqft-apartment","Siruseri","https://www.makaan.com/chennai-property/siruseri-flats-for-sale-51532","seller","https://www.makaan.com/seller-profile-100324864"
"45 L","840","Ready to move","6 - 7 years old","2 Bathrooms","2","https://www.makaan.com/chennai/aakam-builders-hygrevar-aura-in-singaperumal-koil-15864677/2bhk-2t-840-sqft-apartment","Singaperumal Koil","https://www.makaan.com/chennai-property/singaperumal-koil-flats-for-sale-51571","seller","https://www.makaan.com/seller-profile-100324851"
"1.45 Cr","1125","Ready to move","2 Bathrooms","Resale","3","https://www.makaan.com/chennai/builder-project-in-k-k-nagar-15864667/3bhk-2t-1125-sqft-apartment","K K Nagar","https://www.makaan.com/chennai-property/k-k-nagar-flats-for-sale-51274","seller","https://www.makaan.com/seller-profile-100324865"
"40.7 L","760","Under Construction","2 Bathrooms","New","2","https://www.makaan.com/chennai/builder-project-in-kandigai-13863143/2bhk-2t-760-sqft-independenthouse","Kandigai","https://www.makaan.com/chennai-property/kandigai-flats-for-sale-75084","Pon Mariappan","https://www.makaan.com/pon-mariappan-profile-100210716"
"46.06 L","940","Ready to move","4 - 5 years old","2 Bathrooms","2","https://www.makaan.com/chennai/builder-project-in-iyyappanthangal-16344532/2bhk-2t-940-sqft-apartment","Iyyappanthangal","https://www.makaan.com/chennai-property/iyyappanthangal-flats-for-sale-58055","HM Homes","https://www.makaan.com/hm-homes-profile-1914622"
"50.22 L","1025","Ready to move","4 - 5 years old","2 Bathrooms","2","https://www.makaan.com/chennai/builder-project-in-iyyappanthangal-16344523/2bhk-2t-1025-sqft-apartment","Iyyappanthangal","https://www.makaan.com/chennai-property/iyyappanthangal-flats-for-sale-58055","HM Homes","https://www.makaan.com/hm-homes-profile-1914622"
"43.61 L","890","Ready to move","4 - 5 years old","2 Bathrooms","2","https://www.makaan.com/chennai/builder-project-in-iyyappanthangal-16344518/2bhk-2t-890-sqft-apartment","Iyyappanthangal","https://www.makaan.com/chennai-property/iyyappanthangal-flats-for-sale-58055","HM Homes","https://www.makaan.com/hm-homes-profile-1914622"
"39.93 L","815","Ready to move","4 - 5 years old","2 Bathrooms","2","https://www.makaan.com/chennai/builder-project-in-iyyappanthangal-16344509/2bhk-2t-815-sqft-apartment","Iyyappanthangal","https://www.makaan.com/chennai-property/iyyappanthangal-flats-for-sale-58055","HM Homes","https://www.makaan.com/hm-homes-profile-1914622"
"50.47 L","1030","Ready to move","4 - 5 years old","2 Bathrooms","2","https://www.makaan.com/chennai/builder-project-in-iyyappanthangal-16344504/2bhk-2t-1030-sqft-apartment","Iyyappanthangal","https://www.makaan.com/chennai-property/iyyappanthangal-flats-for-sale-58055","HM Homes","https://www.makaan.com/hm-homes-profile-1914622"
"50.47 L","1030","Ready to move","4 - 5 years old","2 Bathrooms","2","https://www.makaan.com/chennai/builder-project-in-iyyappanthangal-16344498/2bhk-2t-1030-sqft-apartment","Iyyappanthangal","https://www.makaan.com/chennai-property/iyyappanthangal-flats-for-sale-58055","HM Homes","https://www.makaan.com/hm-homes-profile-1914622"
"42.23 L","862","Ready to move","4 - 5 years old","2 Bathrooms","2","https://www.makaan.com/chennai/builder-project-in-iyyappanthangal-16344491/2bhk-2t-862-sqft-apartment","Iyyappanthangal","https://www.makaan.com/chennai-property/iyyappanthangal-flats-for-sale-58055","HM Homes","https://www.makaan.com/hm-homes-profile-1914622"
"2.5 Cr","1942","Ready to move","3 - 4 years old","3 Bathrooms","3","https://www.makaan.com/chennai/builder-project-in-purasawalkam-16344419/3bhk-3t-1942-sqft-apartment","Purasawalkam","https://www.makaan.com/chennai-property/purasawalkam-flats-for-sale-58067","INTERFACE PROPERTIES","https://www.makaan.com/interface-properties-profile-100380499"
"47.02 L","825","Ready to move","2 - 3 years old","2 Bathrooms","2","https://www.makaan.com/chennai/builder-project-in-ramavaram-16344358/2bhk-2t-825-sqft-apartment","Ramavaram","https://www.makaan.com/chennai-property/ramavaram-flats-for-sale-55896","HM Homes","https://www.makaan.com/hm-homes-profile-1914622"
"47.02 L","825","Ready to move","2 Bathrooms","New","2","https://www.makaan.com/chennai/builder-project-in-ramapuram-16344320/2bhk-2t-825-sqft-apartment","Ramapuram","https://www.makaan.com/chennai-property/ramapuram-flats-for-sale-51669","HM Homes","https://www.makaan.com/hm-homes-profile-1914622"
"37 L","730","Ready to move","3 - 4 years old","2 Bathrooms","2","https://www.makaan.com/chennai/builder-project-in-gerugambakkam-16346966/2bhk-2t-730-sqft-independenthouse","Gerugambakkam","https://www.makaan.com/chennai-property/gerugambakkam-flats-for-sale-55747","R Venkatesan","https://www.makaan.com/r-venkatesan-profile-100048266"
"55.99 L","1015","Ready to move","3 - 4 years old","2 Bathrooms","2","https://www.makaan.com/chennai/builder-project-in-gerugambakkam-16346964/2bhk-2t-1015-sqft-independenthouse","Gerugambakkam","https://www.makaan.com/chennai-property/gerugambakkam-flats-for-sale-55747","R Venkatesan","https://www.makaan.com/r-venkatesan-profile-100048266"
"54.75 L","1020","Ready to move","2 Bathrooms","New","2","https://www.makaan.com/chennai/builder-project-in-kovur-16346962/2bhk-2t-1020-sqft-independenthouse","Kovur","https://www.makaan.com/chennai-property/kovur-flats-for-sale-54787","R Venkatesan","https://www.makaan.com/r-venkatesan-profile-100048266"
"39.15 L","1050","Ready to move","3 - 4 years old","2 Bathrooms","2","https://www.makaan.com/chennai/builder-project-in-gerugambakkam-16346961/2bhk-2t-1050-sqft-independenthouse","Gerugambakkam","https://www.makaan.com/chennai-property/gerugambakkam-flats-for-sale-55747","R Venkatesan","https://www.makaan.com/r-venkatesan-profile-100048266"
"58.58 L","1100","Ready to move","3 - 4 years old","3 Bathrooms","2","https://www.makaan.com/chennai/builder-project-in-gerugambakkam-16346959/2bhk-3t-1100-sqft-independenthouse","Gerugambakkam","https://www.makaan.com/chennai-property/gerugambakkam-flats-for-sale-55747","R Venkatesan","https://www.makaan.com/r-venkatesan-profile-100048266"
"54.22 L","1015","Ready to move","3 - 4 years old","2 Bathrooms","2","https://www.makaan.com/chennai/builder-project-in-gerugambakkam-16346958/2bhk-2t-1015-sqft-independenthouse","Gerugambakkam","https://www.makaan.com/chennai-property/gerugambakkam-flats-for-sale-55747","R Venkatesan","https://www.makaan.com/r-venkatesan-profile-100048266"
"44.19 L","878","Ready to move","3 - 4 years old","2 Bathrooms","2","https://www.makaan.com/chennai/builder-project-in-gerugambakkam-16346957/2bhk-2t-878-sqft-independenthouse","Gerugambakkam","https://www.makaan.com/chennai-property/gerugambakkam-flats-for-sale-55747","R Venkatesan","https://www.makaan.com/r-venkatesan-profile-100048266"
"39.73 L","790","Ready to move","3 - 4 years old","2 Bathrooms","2","https://www.makaan.com/chennai/builder-project-in-gerugambakkam-16346956/2bhk-2t-790-sqft-independenthouse","Gerugambakkam","https://www.makaan.com/chennai-property/gerugambakkam-flats-for-sale-55747","R Venkatesan","https://www.makaan.com/r-venkatesan-profile-100048266"
"38.58 L","819","Ready to move","2 Bathrooms","New","2","https://www.makaan.com/chennai/builder-project-in-kovur-16346954/2bhk-2t-819-sqft-independenthouse","Kovur","https://www.makaan.com/chennai-property/kovur-flats-for-sale-54787","R Venkatesan","https://www.makaan.com/r-venkatesan-profile-100048266"
"38.23 L","815","Ready to move","2 Bathrooms","New","2","https://www.makaan.com/chennai/builder-project-in-kovur-16346951/2bhk-2t-815-sqft-independenthouse","Kovur","https://www.makaan.com/chennai-property/kovur-flats-for-sale-54787","R Venkatesan","https://www.makaan.com/r-venkatesan-profile-100048266"
"41 L","874","Ready to move","3 Bathrooms","New","2","https://www.makaan.com/chennai/builder-project-in-kovur-16346950/2bhk-3t-874-sqft-independenthouse","Kovur","https://www.makaan.com/chennai-property/kovur-flats-for-sale-54787","R Venkatesan","https://www.makaan.com/r-venkatesan-profile-100048266"
"38.53 L","799","Ready to move","2 Bathrooms","New","2","https://www.makaan.com/chennai/builder-project-in-kovur-16346948/2bhk-2t-799-sqft-independenthouse","Kovur","https://www.makaan.com/chennai-property/kovur-flats-for-sale-54787","R Venkatesan","https://www.makaan.com/r-venkatesan-profile-100048266"
"24 L","1010","Under Construction","2 Bathrooms","New","2","https://www.makaan.com/chennai/builder-project-in-veppampattu-16342622/2bhk-2t-1010-sqft-independenthouse","Veppampattu","https://www.makaan.com/chennai-property/veppampattu-flats-for-sale-54853","viswaraj","https://www.makaan.com/viswaraj-profile-2004281"
"8 Cr","5000","Ready to move","3 Bathrooms","Resale","4","https://www.makaan.com/chennai/builder-project-in-shenoy-nagar-16342323/4bhk-3t-5000-sqft-independenthouse","Shenoy Nagar","https://www.makaan.com/chennai-property/shenoy-nagar-flats-for-sale-52039","INTERFACE PROPERTIES","https://www.makaan.com/interface-properties-profile-100380499"
"2.65 Cr","1650","Ready to move","3 Bathrooms","Resale","3","https://www.makaan.com/chennai/builder-project-in-besant-nagar-16342091/3bhk-3t-1650-sqft-apartment","Besant Nagar","https://www.makaan.com/chennai-property/besant-nagar-flats-for-sale-51680","INTERFACE PROPERTIES","https://www.makaan.com/interface-properties-profile-100380499"
"47.02 L","825","Ready to move","2 Bathrooms","New","2","https://www.makaan.com/chennai/builder-project-in-ramapuram-16344320/2bhk-2t-825-sqft-apartment","Ramapuram","https://www.makaan.com/chennai-property/ramapuram-flats-for-sale-51669","HM Homes","https://www.makaan.com/hm-homes-profile-1914622"
"47.02 L","825","Ready to move","2 Bathrooms","New","2","https://www.makaan.com/chennai/builder-project-in-ramapuram-16344319/2bhk-2t-825-sqft-apartment","Ramapuram","https://www.makaan.com/chennai-property/ramapuram-flats-for-sale-51669","HM Homes","https://www.makaan.com/hm-homes-profile-1914622"
"79.8 L","1400","Ready to move","2 - 3 years old","3 Bathrooms","3","https://www.makaan.com/chennai/builder-project-in-ramavaram-16344244/3bhk-3t-1400-sqft-apartment","Ramavaram","https://www.makaan.com/chennai-property/ramavaram-flats-for-sale-55896","HM Homes","https://www.makaan.com/hm-homes-profile-1914622"
"56 L","1258","Ready to move","6 years old","2 Bathrooms","2","https://www.makaan.com/chennai/lancor-holdings-the-central-park-lake-front-in-sholinganallur-16342008/2bhk-2t-1258-sqft-apartment","Sholinganallur","https://www.makaan.com/chennai-property/sholinganallur-flats-for-sale-50307","INTERFACE PROPERTIES","https://www.makaan.com/interface-properties-profile-100380499"
"50.22 L","1025","Ready to move","5 years old","3 Bathrooms","3","https://www.makaan.com/chennai/builder-project-in-kolapakkam-16344089/3bhk-3t-1025-sqft-apartment","Kolapakkam","https://www.makaan.com/chennai-property/kolapakkam-flats-for-sale-51232","HM Homes","https://www.makaan.com/hm-homes-profile-1914622"
"3.9 Cr","4000","Ready to move","4 Bathrooms","Resale","4","https://www.makaan.com/chennai/builder-project-in-saligramam-16344077/4bhk-4t-4000-sqft-independenthouse","Saligramam","https://www.makaan.com/chennai-property/saligramam-flats-for-sale-51474","INTERFACE PROPERTIES","https://www.makaan.com/interface-properties-profile-100380499"
"50.22 L","1025","Ready to move","5 years old","3 Bathrooms","3","https://www.makaan.com/chennai/builder-project-in-kolapakkam-16344076/3bhk-3t-1025-sqft-apartment","Kolapakkam","https://www.makaan.com/chennai-property/kolapakkam-flats-for-sale-51232","HM Homes","https://www.makaan.com/hm-homes-profile-1914622"
"40.42 L","825","Ready to move","5 years old","2 Bathrooms","2","https://www.makaan.com/chennai/builder-project-in-kolapakkam-16344024/2bhk-2t-825-sqft-apartment","Kolapakkam","https://www.makaan.com/chennai-property/kolapakkam-flats-for-sale-51232","HM Homes","https://www.makaan.com/hm-homes-profile-1914622"
"54 L","1000","Ready to move","3 Bathrooms","New","2","https://www.makaan.com/chennai/builder-project-in-kovur-16346393/2bhk-3t-1000-sqft-independenthouse","Kovur","https://www.makaan.com/chennai-property/kovur-flats-for-sale-54787","Shiva","https://www.makaan.com/shiva-profile-100134418"
"1.1 Cr","974","Ready to move","2 Bathrooms","Resale","2","https://www.makaan.com/chennai/builder-project-in-thiruvanmiyur-16342920/2bhk-2t-974-sqft-apartment","Thiruvanmiyur","https://www.makaan.com/chennai-property/thiruvanmiyur-flats-for-sale-50311","S Suresh Kumar","https://www.makaan.com/s-suresh-kumar-profile-100147355"
"42.14 L","860","Ready to move","5 years old","2 Bathrooms","2","https://www.makaan.com/chennai/builder-project-in-kolapakkam-16343930/2bhk-2t-860-sqft-apartment","Kolapakkam","https://www.makaan.com/chennai-property/kolapakkam-flats-for-sale-51232","HM Homes","https://www.makaan.com/hm-homes-profile-1914622"
"2 Cr","1844","Ready to move","15 - 16 years old","3 Bathrooms","3","https://www.makaan.com/chennai/vishranthi-homes-coconut-grove-in-velachery-15853698/3bhk-3t-1844-sqft-villa","Velachery","https://www.makaan.com/chennai-property/velachery-flats-for-sale-50306","seller","https://www.makaan.com/seller-profile-100323749"
"59 L","1096","Ready to move","8 - 9 years old","2 Bathrooms","3","https://www.makaan.com/chennai/vgn-projects-estates-imperia-phase-3-in-thiruverkadu-15853556/3bhk-2t-1096-sqft-apartment","Thiruverkadu","https://www.makaan.com/chennai-property/thiruverkadu-flats-for-sale-51349","seller","https://www.makaan.com/seller-profile-100323736"
"41.7 L","760","Under Construction","2 Bathrooms","New","2","https://www.makaan.com/chennai/builder-project-in-kandigai-13852077/2bhk-2t-760-sqft-independenthouse","Kandigai","https://www.makaan.com/chennai-property/kandigai-flats-for-sale-75084","Pon Mariappan","https://www.makaan.com/pon-mariappan-profile-100210716"
"40.75 L","750","Under Construction","2 Bathrooms","New","2","https://www.makaan.com/chennai/builder-project-in-kandigai-13852031/2bhk-2t-750-sqft-independenthouse","Kandigai","https://www.makaan.com/chennai-property/kandigai-flats-for-sale-75084","Pon Mariappan","https://www.makaan.com/pon-mariappan-profile-100210716"
"1.68 Cr","994","Under Construction","Possession by Apr 2022","2 Bathrooms","2","https://www.makaan.com/chennai/ashwin-apartment-mahalakshmi-in-royapettah-16330374/2bhk-2t-994-sqft-apartment","Royapettah","https://www.makaan.com/chennai-property/royapettah-flats-for-sale-51673","MEHTA REAL ESTATE CHENNAI LLP","https://www.makaan.com/mehta-real-estate-chennai-llp-profile-1863289"
"43 L","891","Ready to move","3 years old","2 Bathrooms","2","https://www.makaan.com/chennai/builder-project-in-thandalam-16330271/2bhk-2t-891-sqft-villa","Thandalam","https://www.makaan.com/chennai-property/thandalam-flats-for-sale-140059-lcudn","Shiva","https://www.makaan.com/shiva-profile-100134418"
"48.99 L","800","Under Construction","2 Bathrooms","New","2","https://www.makaan.com/chennai/builder-project-in-kelambakkam-16330227/2bhk-2t-800-sqft-independenthouse","Kelambakkam","https://www.makaan.com/chennai-property/kelambakkam-flats-for-sale-50403","Balamurugan","https://www.makaan.com/balamurugan-profile-100116932"
"49 L","800","Under Construction","2 Bathrooms","New","2","https://www.makaan.com/chennai/builder-project-in-kelambakkam-16330211/2bhk-2t-800-sqft-independenthouse","Kelambakkam","https://www.makaan.com/chennai-property/kelambakkam-flats-for-sale-50403","Balamurugan","https://www.makaan.com/balamurugan-profile-100116932"
"3.75 Cr","2200","Ready to move","4 Bathrooms","Resale","4","https://www.makaan.com/chennai/builder-project-in-valasaravakkam-16331898/4bhk-4t-2200-sqft-apartment","Valasaravakkam","https://www.makaan.com/chennai-property/valasaravakkam-flats-for-sale-51438","MEHTA REAL ESTATE CHENNAI LLP","https://www.makaan.com/mehta-real-estate-chennai-llp-profile-1863289"
"1.68 Cr","994","Ready to move","2 Bathrooms","New","2","https://www.makaan.com/chennai/builder-project-in-royapettah-16330941/2bhk-2t-994-sqft-apartment","Royapettah","https://www.makaan.com/chennai-property/royapettah-flats-for-sale-51673","MEHTA REAL ESTATE CHENNAI LLP","https://www.makaan.com/mehta-real-estate-chennai-llp-profile-1863289"
"44.5 L","918","Ready to move","2 Bathrooms","New","3","https://www.makaan.com/chennai/urbanrise-projects-code-name-independence-day-in-padur-16328504/3bhk-2t-918-sqft-apartment","Padur","https://www.makaan.com/chennai-property/padur-flats-for-sale-52316","Alliance Group","https://www.makaan.com/alliance-group-profile-100379217"
"27.6 L","600","Under Construction","2 Bathrooms","New","2","https://www.makaan.com/chennai/builder-project-in-semmancheri-16340730/2bhk-2t-600-sqft-villa","Semmancheri","https://www.makaan.com/chennai-property/semmancheri-flats-for-sale-51722","Royal Square","https://www.makaan.com/royal-square-profile-100007074"
"27.6 L","600","Under Construction","2 Bathrooms","New","2","https://www.makaan.com/chennai/builder-project-in-semmancheri-16340729/2bhk-2t-600-sqft-villa","Semmancheri","https://www.makaan.com/chennai-property/semmancheri-flats-for-sale-51722","Royal Square","https://www.makaan.com/royal-square-profile-100007074"
"31.6 L","750","Under Construction","2 Bathrooms","New","2","https://www.makaan.com/chennai/builder-project-in-ottiyabakkam-16340721/2bhk-2t-750-sqft-villa","Ottiyabakkam","https://www.makaan.com/chennai-property/ottiyabakkam-flats-for-sale-104494-lcudn","Royal Square","https://www.makaan.com/royal-square-profile-100007074"
"34 L","700","Under Construction","2 Bathrooms","New","2","https://www.makaan.com/chennai/builder-project-in-semmancheri-16340703/2bhk-2t-700-sqft-villa","Semmancheri","https://www.makaan.com/chennai-property/semmancheri-flats-for-sale-51722","Royal Square","https://www.makaan.com/royal-square-profile-100007074"
"5.5 Cr","4000","Ready to move","3 Bathrooms","Resale","4","https://www.makaan.com/chennai/builder-project-in-t-nagar-16341921/4bhk-3t-4000-sqft-independenthouse","T Nagar","https://www.makaan.com/chennai-property/t-nagar-flats-for-sale-51618","INTERFACE PROPERTIES","https://www.makaan.com/interface-properties-profile-100380499"
"1.9 Cr","1550","Ready to move","3 Bathrooms","Resale","3","https://www.makaan.com/chennai/builder-project-in-anna-nagar-16341902/3bhk-3t-1550-sqft-apartment","Anna Nagar","https://www.makaan.com/chennai-property/anna-nagar-flats-for-sale-50379","INTERFACE PROPERTIES","https://www.makaan.com/interface-properties-profile-100380499"
"5.5 Cr","4600","Ready to move","4 Bathrooms","Resale","5","https://www.makaan.com/chennai/builder-project-in-anna-nagar-16341901/5bhk-4t-4600-sqft-independenthouse","Anna Nagar","https://www.makaan.com/chennai-property/anna-nagar-flats-for-sale-50379","INTERFACE PROPERTIES","https://www.makaan.com/interface-properties-profile-100380499"
"85.09 L","1340","Under Construction","Possession by Nov 2022","New","3","https://www.makaan.com/chennai/sudarasan-builders-and-developers-cosmo-residence-in-east-tambaram-16340064/3bhk-1340-sqft-apartment","East Tambaram","https://www.makaan.com/chennai-property/east-tambaram-flats-for-sale-87066","Proparena","https://www.makaan.com/proparena-profile-100315343"
"63.62 L","1002","Under Construction","Possession by Nov 2022","New","2","https://www.makaan.com/chennai/sudarasan-builders-and-developers-cosmo-residence-in-east-tambaram-16340061/2bhk-1002-sqft-apartment","East Tambaram","https://www.makaan.com/chennai-property/east-tambaram-flats-for-sale-87066","Proparena","https://www.makaan.com/proparena-profile-100315343"
"63.56 L","1001","Under Construction","Possession by Nov 2022","New","2","https://www.makaan.com/chennai/sudarasan-builders-and-developers-cosmo-residence-in-east-tambaram-16340056/2bhk-1001-sqft-apartment","East Tambaram","https://www.makaan.com/chennai-property/east-tambaram-flats-for-sale-87066","Proparena","https://www.makaan.com/proparena-profile-100315343"
